movie_id,platform
27205,TV
27205,STREAMING
27205,RENTAL
157336,TV
157336,RENTAL
155,TV
155,THEATER
155,STREAMING
19995,THEATER
19995,STREAMING
19995,RENTAL
24428,TV
24428,RENTAL
24428,STREAMING
293660,RENTAL
293660,TV
293660,STREAMING
299536,THEATER
299536,TV
299536,STREAMING
550,THEATER
550,TV
550,RENTAL
118340,TV
118340,RENTAL
680,THEATER
680,TV
680,STREAMING
13,THEATER
13,RENTAL
671,TV
671,THEATER
671,STREAMING
1726,TV
1726,THEATER
1726,RENTAL
68718,THEATER
68718,TV
68718,STREAMING
278,THEATER
278,STREAMING
299534,THEATER
299534,STREAMING
603,STREAMING
603,RENTAL
597,TV
597,THEATER
597,STREAMING
475557,THEATER
475557,STREAMING
475557,RENTAL
120,RENTAL
120,STREAMING
122,TV
122,STREAMING
11324,TV
11324,STREAMING
106646,TV
106646,RENTAL
106646,STREAMING
99861,THEATER
99861,RENTAL
99861,STREAMING
271110,TV
271110,THEATER
271110,STREAMING
49026,THEATER
49026,STREAMING
49026,RENTAL
68721,THEATER
68721,RENTAL
68721,STREAMING
284054,THEATER
284054,STREAMING
284052,THEATER
284052,RENTAL
284052,STREAMING
76341,TV
76341,RENTAL
16869,TV
16869,STREAMING
70160,THEATER
70160,TV
70160,STREAMING
315635,TV
315635,RENTAL
672,THEATER
672,RENTAL
672,STREAMING
283995,TV
283995,THEATER
283995,STREAMING
121,THEATER
121,RENTAL
1771,TV
1771,RENTAL
297761,RENTAL
297761,TV
297761,STREAMING
673,THEATER
673,STREAMING
10195,STREAMING
10195,RENTAL
10138,TV
10138,THEATER
10138,RENTAL
272,THEATER
272,RENTAL
284053,THEATER
284053,RENTAL
284053,STREAMING
150540,THEATER
150540,TV
135397,RENTAL
135397,STREAMING
807,THEATER
807,TV
807,RENTAL
674,TV
674,THEATER
674,RENTAL
22,THEATER
22,TV
12445,THEATER
12445,TV
11,THEATER
11,TV
11,RENTAL
297762,THEATER
297762,RENTAL
297762,STREAMING
14160,TV
14160,THEATER
14160,STREAMING
102899,THEATER
102899,TV
102899,RENTAL
238,THEATER
238,RENTAL
238,STREAMING
286217,STREAMING
286217,TV
286217,RENTAL
105,TV
105,STREAMING
140607,TV
140607,RENTAL
634649,TV
634649,THEATER
634649,STREAMING
675,TV
675,STREAMING
675,RENTAL
767,TV
767,THEATER
767,STREAMING
767,RENTAL
263115,THEATER
263115,TV
12,THEATER
12,RENTAL
12,STREAMING
346364,TV
346364,RENTAL
346364,STREAMING
245891,THEATER
245891,STREAMING
245891,RENTAL
259316,TV
