movie_id,create_date
27205,2024-04-03
27205,2024-04-24
27205,2024-04-18
27205,2024-04-17
27205,2024-04-19
157336,2024-04-19
157336,2024-04-12
155,2024-04-14
155,2024-04-21
155,2024-04-02
155,2024-04-08
155,2024-04-06
155,2024-04-14
155,2024-04-30
155,2024-04-11
155,2024-04-28
155,2024-04-15
155,2024-04-05
155,2024-04-02
19995,2024-04-15
19995,2024-04-13
19995,2024-04-06
19995,2024-04-28
19995,2024-04-09
19995,2024-04-07
19995,2024-04-21
19995,2024-04-30
19995,2024-04-25
19995,2024-04-01
19995,2024-04-02
19995,2024-04-25
19995,2024-04-17
19995,2024-04-08
19995,2024-04-09
19995,2024-04-24
19995,2024-04-22
24428,2024-04-27
24428,2024-04-06
24428,2024-04-06
24428,2024-04-20
24428,2024-04-08
24428,2024-04-11
24428,2024-04-12
24428,2024-04-09
24428,2024-04-25
24428,2024-04-21
24428,2024-04-30
24428,2024-04-14
24428,2024-04-01
24428,2024-04-22
293660,2024-04-20
293660,2024-04-03
293660,2024-04-10
293660,2024-04-05
293660,2024-04-27
293660,2024-04-06
293660,2024-04-28
293660,2024-04-28
293660,2024-04-08
293660,2024-04-19
293660,2024-04-29
293660,2024-04-23
293660,2024-04-20
293660,2024-04-17
293660,2024-04-30
293660,2024-04-02
293660,2024-04-10
293660,2024-04-27
293660,2024-04-07
299536,2024-04-12
299536,2024-04-22
550,2024-04-14
550,2024-04-07
550,2024-04-09
550,2024-04-02
550,2024-04-01
550,2024-04-10
550,2024-04-13
550,2024-04-14
118340,2024-04-13
118340,2024-04-21
118340,2024-04-26
118340,2024-04-11
118340,2024-04-17
118340,2024-04-22
118340,2024-04-09
118340,2024-04-20
118340,2024-04-19
118340,2024-04-27
118340,2024-04-27
118340,2024-04-16
118340,2024-04-26
118340,2024-04-24
118340,2024-04-23
118340,2024-04-26
118340,2024-04-15
118340,2024-04-20
118340,2024-04-11
118340,2024-04-25
680,2024-04-11
680,2024-04-18
680,2024-04-25
680,2024-04-12
680,2024-04-14
680,2024-04-12
680,2024-04-16
680,2024-04-14
680,2024-04-30
680,2024-04-13
680,2024-04-21
680,2024-04-07
680,2024-04-19
680,2024-04-30
680,2024-04-09
13,2024-04-18
13,2024-04-26
13,2024-04-05
13,2024-04-27
13,2024-04-08
13,2024-04-02
13,2024-04-03
13,2024-04-01
13,2024-04-01
13,2024-04-08
13,2024-04-17
671,2024-04-23
671,2024-04-01
671,2024-04-22
671,2024-04-08
671,2024-04-28
1726,2024-04-03
1726,2024-04-08
1726,2024-04-24
1726,2024-04-26
1726,2024-04-05
1726,2024-04-16
1726,2024-04-08
1726,2024-04-26
1726,2024-04-23
1726,2024-04-16
1726,2024-04-22
68718,2024-04-13
68718,2024-04-06
68718,2024-04-04
68718,2024-04-28
68718,2024-04-21
68718,2024-04-21
68718,2024-04-25
