id,title,poster_path,status,genre,overview,budget,revenue,production_country,production_company,vote_count,vote_average,release_date,language
27205,Inception,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,Released,Action,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",160000000,825532764,"Legendary Pictures, Syncopy, Warner Bros. Pictures","Legendary Pictures, Syncopy, Warner Bros. Pictures",34495,8.364,2010-07-15,en
157336,Interstellar,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Released,Adventure,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,165000000,701729206,"Legendary Pictures, Syncopy, Lynda Obst Productions","Legendary Pictures, Syncopy, Lynda Obst Productions",32571,8.417,2014-11-05,en
155,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Released,Drama,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",185000000,1004558444,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures",30619,8.512,2008-07-16,en
19995,Avatar,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Released,Action,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",237000000,2923706026,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media",29815,7.573,2009-12-15,en
24428,The Avengers,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Released,Science Fiction,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",220000000,1518815515,Marvel Studios,Marvel Studios,29166,7.71,2012-04-25,en
293660,Deadpool,/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,Released,Action,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",58000000,783100000,"20th Century Fox, The Donners' Company, Genre Films","20th Century Fox, The Donners' Company, Genre Films",28894,7.606,2016-02-09,en
299536,Avengers: Infinity War,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Released,Adventure,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",300000000,2052415039,Marvel Studios,Marvel Studios,27713,8.255,2018-04-25,en
550,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Released,Drama,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63000000,100853753,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox","Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",27238,8.438,1999-10-15,en
118340,Guardians of the Galaxy,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,Released,Action,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",170000000,772776600,Marvel Studios,Marvel Studios,26638,7.906,2014-07-30,en
680,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,Released,Thriller,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",8500000,213900000,"Miramax, A Band Apart, Jersey Films","Miramax, A Band Apart, Jersey Films",25893,8.488,1994-09-10,en
